N,AreaEstimate,RelativeError
100,0.972213595499958,0.029323351670005948
600,0.8911957958749614,0.05645359430249461
1100,0.7954474872272383,0.1578263486336315
1600,0.9053739108093358,0.04144262875730703
2100,1.083323720699953,0.14696030614657793
2600,1.0170849922153407,0.07683058328554465
3100,0.9659412497225388,0.022682555852779982
3600,0.9857165621041241,0.04361950933208933
4100,0.9603573321402025,0.016770627869152267
4600,0.9193759000923515,0.02661813483379884
5100,0.9779324990028989,0.035378194915123604
5600,0.9774218826187078,0.03483758391109525
6100,0.9132432626581571,0.03311101556243718
6600,0.9766327482067759,0.03400209417759681
7100,0.9270262030330585,0.01851843791465636
7600,0.9734928239150895,0.030677724501150673
8100,0.923002783875886,0.022778200698475932
8600,0.9507344579249588,0.006582486923808009
9100,0.948709530553805,0.004438611299961688
9600,0.9529718680890213,0.008951327001537088
10100,0.9250467973024352,0.020614117866459763
10600,0.9786338739608067,0.0361207700300908
11100,0.8995165428634746,0.047644070121535105
11600,0.9805947471853024,0.038196828839574856
12100,0.9537335023623555,0.009757701183716628
12600,0.972213595499958,0.029323351670005948
13100,0.9736978910656068,0.030894837703089907
13600,0.9093056569676078,0.03727992402628855
14100,0.9253266986957047,0.02031777450982412
14600,0.9442458071362605,0.0002873200903641813
15100,0.9342264417685027,0.010895242865444642
15600,0.9628653878509199,0.019426011750101998
16100,0.9275280016695251,0.01798716263035464
16600,0.9511294452361034,0.00700067657354792
17100,0.9437862973859241,0.0007738223554328492
17600,0.9528798024076293,0.008853853199295564
18100,0.9093688492715076,0.03721301968103869
18600,0.9790086367588285,0.03651754713866713
19100,0.9350556936824204,0.010017279048271746
19600,0.9533645564035301,0.009367082607015907
20100,0.9180404996313036,0.028031979368322742
20600,0.9514478682174347,0.007337804352782544
21100,0.9712920660255504,0.02834768972529498
21600,0.9308044979138486,0.014518198493716659
22100,0.9436190779852534,0.0009508645555824712
22600,0.9743645105342499,0.031600615722373146
23100,0.9486447810635954,0.004370058296187633
23600,0.9178355469380959,0.02824897138950293
24100,0.9375204962414533,0.007407689094981815
24600,0.9283454210688623,0.017121726393152892
25100,0.9532341269025484,0.009228991418280643
25600,0.9517059649698807,0.0076110622207166785
