N,AreaEstimate,RelativeError
100,0.8791814121770594,0.06917372674398194
600,0.9741164942431267,0.031338030462066895
1100,0.9658612697156427,0.022597877661540967
1600,0.9302606139408673,0.015094031290727417
2100,0.9505301384503151,0.006366165317707059
2600,0.9406193331796816,0.004126820324682734
3100,0.9375005790002536,0.007428776314459653
3600,0.948318917594739,0.0040250529604232916
4100,0.937169330809143,0.007779482681750562
4600,0.9346349856334201,0.010462700323057399
5100,0.9488652192178813,0.004603445425163934
5600,0.9574586304644536,0.013701650703862816
6100,0.9601773446311455,0.016580067536588694
6600,0.9446603521791495,0.00015157615109932085
7100,0.9412700022851794,0.0034379296245329073
7600,0.9298532837832613,0.015525288830227005
8100,0.9342162423602869,0.010906041407141976
8600,0.9428234338249892,0.001793246432950248
9100,0.9364690417276772,0.00852090813373841
9600,0.9338722746716417,0.011270214440497252
10100,0.9424442219223338,0.002194733995396576
10600,0.9442497149385026,0.00028318273606245956
11100,0.9463387792790248,0.0019285973900267487
11600,0.9466465229706366,0.002254418556868441
12100,0.938741833767916,0.006114607778203427
12600,0.9412921490981304,0.0034144818638339905
13100,0.939677714057859,0.005123752022570108
13600,0.9347220771965298,0.010370492828678383
14100,0.9518098237114144,0.007721021830858479
14600,0.9431311309481863,0.0014674745700443393
15100,0.9446218344247316,0.00011079578734003495
15600,0.9446675682845056,0.00015921614480602394
16100,0.9476331186627196,0.0032989688380192297
16600,0.9484059455641551,0.004117193125489
17100,0.937547297871377,0.007379313084122657
17600,0.9370148885542635,0.007942997181206078
18100,0.9432164134841737,0.0013771823686312215
18600,0.9396309595234753,0.005173253011098143
19100,0.9486808940628944,0.004408292644739548
19600,0.9441913053309968,0.00034502343983978836
20100,0.9443607222522699,0.00016565463236626428
20600,0.9448224693422002,0.00032321639806456485
21100,0.9421519518784134,0.0025041725617706515
21600,0.9429874184207387,0.0016196290565831375
22100,0.9363889975338102,0.008605654282418334
22600,0.9436707878552594,0.0008961171451827555
23100,0.9423285192769055,0.002317233243854483
23600,0.9419875801393379,0.0026781998230310518
24100,0.9446408896543297,0.0001309703589440043
24600,0.9457265757461693,0.001280431806599578
25100,0.9393195717328551,0.00550293233855654
25600,0.9478190895471763,0.003495864021328795
26100,0.9395299501021157,0.00528019592634368
26600,0.9494749593753735,0.005249002929669912
27100,0.9361150455418853,0.008895698758066535
27600,0.9461205154107895,0.0016975122689789398
28100,0.9414921994467883,0.003202680160652296
28600,0.9473303111609406,0.002978373822598034
29100,0.9370105365731981,0.007947604806276728
29600,0.9450698174006447,0.0005850941723783886
30100,0.9426588778543418,0.001967468747910833
30600,0.9438068708554522,0.0007520403594721143
31100,0.9473069226265385,0.002953611399265505
31600,0.9425846714435276,0.0020460341905750227
32100,0.9451074809502854,0.0006249701536765752
32600,0.9405638178660825,0.004185596717984975
33100,0.9422179076248423,0.002434342443892955
33600,0.9371891059550058,0.007758545904571659
34100,0.9418581755250254,0.002815205921220057
34600,0.943028177597717,0.0015764756046537307
35100,0.9486099671774387,0.004333199373262353
35600,0.9443652215780646,0.00016089100724447152
36100,0.9440112225244762,0.0005356846678290975
36600,0.9423135800798683,0.002333049998975762
37100,0.9425308036319039,0.002103066304366002
37600,0.9428739822681005,0.0017397286739662056
38100,0.9389505377914031,0.0058936440661578795
38600,0.9383046458719554,0.0065774769588676785
39100,0.9490763502799653,0.004826978744870526
39600,0.9421587689890027,0.002496955000575223
40100,0.943349828267254,0.0012359305364020232
40600,0.94466404910012,0.0001554902365450552
41100,0.9383840260329218,0.006493433849698806
41600,0.9432090129893852,0.0013850175831715337
42100,0.9443604295864589,0.00016596448994777617
42600,0.9447290576329633,0.0002243174996312159
43100,0.9446294451478557,0.0001188535794456547
43600,0.9445605183545884,4.587788954153623e-05
44100,0.9400847523134984,0.004692803531938096
44600,0.9443717726833354,0.00015395507704795024
45100,0.9460102918884663,0.0015808139981918566
45600,0.9480202088124945,0.0037087974314569104
46100,0.9409075704118485,0.003821651465428598
46600,0.9436199941914876,0.0009498945295756482
47100,0.9402542993660582,0.004513296949007768
47600,0.9404972657840344,0.004256058201419721
48100,0.9459097135551431,0.0014743274939495441
48600,0.9446371893718332,0.00012705271450961765
49100,0.9426844326257509,0.0019404128385101475
49600,0.9441164091407274,0.00042431918097353405
50100,0.9432211928678119,0.001372122234512396
50600,0.941438204265754,0.003259847125785819
51100,0.942404154228545,0.0022371553450416647
51600,0.944359289551033,0.00016717149331729652
52100,0.9417610844828147,0.0029180002839485795
52600,0.9423903794478623,0.0022517392836806783
53100,0.9405592397373369,0.004190443775099332
53600,0.9442144076384432,0.0003205640570024095
54100,0.9453071339697626,0.0008363511877729425
54600,0.9422068763580439,0.0024460217091970063
55100,0.9448486519301681,0.000350937003214808
55600,0.9430777408713542,0.0015240008859538745
56100,0.941338396854587,0.0033655174223743874
56600,0.9398048057256244,0.00498919473799901
57100,0.9351969418298391,0.009867733704335763
57600,0.9445137750391017,3.6112210691875055e-06
58100,0.9456565721630051,0.001206316074022993
58600,0.9442018708913988,0.0003338372374500892
59100,0.9426670221219247,0.0019588460698860472
59600,0.9450431447746886,0.0005568547434360615
60100,0.9444952102272874,2.326656677536636e-05
60600,0.9413612345462034,0.003341338199426078
61100,0.9419873225142279,0.0026784725815513504
61600,0.9415579423120836,0.0031330754289685073
62100,0.9458812335404275,0.0014441745066447785
62600,0.9407593210126618,0.003978609328556832
63100,0.9432738764562112,0.0013163439075684546
63600,0.942458486974992,0.0021796309852330923
64100,0.9419842240464453,0.002681753059481055
64600,0.9444884167400742,3.0459116910650253e-05
65100,0.9380141528763875,0.00688503408954212
65600,0.943058728795214,0.0015441297691801599
66100,0.9421821385445233,0.0024722126709814433
66600,0.9375629550065642,0.007362736217739615
67100,0.9420921284531996,0.0025675101337141975
67600,0.9435684999302547,0.0010044136659149367
68100,0.9411501460750019,0.003564826426377097
68600,0.9422869477778272,0.002361246735296424
69100,0.941113516302208,0.0036036079047247543
69600,0.9443692196527098,0.00015665807775951763
70100,0.9428267202495101,0.001789766957330411
70600,0.9428670784503487,0.0017470380356748956
71100,0.9437428411293456,0.0008198313187712453
71600,0.938259303907267,0.006625482400552932
72100,0.939790331783491,0.005004518908220013
72600,0.944558014685007,4.322714943981045e-05
73100,0.9453813111922604,0.0009148857275411815
73600,0.9408937020550725,0.003836334477006374
74100,0.941262705941439,0.0034456545699858235
74600,0.9470712278286882,0.0027040714212017
75100,0.9418210885683621,0.002854471439324897
75600,0.9456654525680476,0.0012157181316827233
76100,0.9442685963622167,0.0002631921800450916
76600,0.9419523720469436,0.0027154761086507725
77100,0.9443077457547795,0.0002217430744626514
77600,0.9441593908031843,0.0003788126903573318
78100,0.9442666170784466,0.0002652877308721726
78600,0.9424347069821143,0.0022048078620890495
79100,0.943506413915553,0.0010701467363434822
79600,0.9448913400742195,0.00039613273357173417
80100,0.9437391230886206,0.0008237677645876591
80600,0.9405271532531961,0.004224415083001172
81100,0.9425155761844654,0.0021191882422892765
81600,0.9417632981170309,0.0029156566164651294
82100,0.9448360876365083,0.00033763465800883233
82600,0.941410414017713,0.003289269828152573
83100,0.9427347201368423,0.0018871713392105917
83600,0.9435988251017515,0.0009723071336574682
84100,0.942553266575915,0.0020792838424410756
84600,0.9438180637965095,0.0007401899228423497
85100,0.9410519433595432,0.0036687977642465776
85600,0.9414427784731313,0.003255004220388644
86100,0.9424043512412061,0.0022369467594657473
86600,0.940023179551964,0.004757993199689631
87100,0.9426594446372487,0.001966868671051034
87600,0.9429190960716244,0.0016919647960851082
88100,0.9450451729076903,0.0005590020129955043
88600,0.9475805129177602,0.0032432729271933626
89100,0.9413735498209844,0.0033282995009620113
89600,0.9429613137300826,0.0016472671885788567
90100,0.9433770066851809,0.0012071556042646111
90600,0.9439657900914216,0.0005837858921719816
91100,0.9448199619738006,0.0003205617418687797
91600,0.940663007948344,0.004080580013426974
92100,0.941552725830152,0.0031385983374019382
92600,0.945080569528207,0.0005964779012536419
93100,0.9462828209973989,0.0018693520078767486
93600,0.9461889638304362,0.0017699814846465422
94100,0.9449775694099297,0.0004874273516025479
94600,0.9429674202993059,0.0016408019073595743
95100,0.9437258096261743,0.0008378632862416091
95600,0.9421965805759249,0.0024569222859918793
96100,0.942152196150756,0.002503913940385861
96600,0.9447489175467508,0.00024534402417093456
97100,0.944615331410614,0.00010391077326658673
97600,0.9431890060415431,0.001406199778838039
98100,0.9426608068998692,0.001965426386420513
98600,0.9425398418035665,0.0020934972125616655
99100,0.9422951443995452,0.0023525686277506936
99600,0.9475605310041116,0.0032221172362785653
