Size,MeanMs,MedianMs
500,81,80
600,97,97
700,114,114
800,134,133
900,137,129
1000,148,144
1100,160,160
1200,176,176
1300,192,192
1400,213,208
1500,323,346
1600,248,247
1700,269,263
1800,278,278
1900,306,296
2000,312,312
