Size,MeanMs,MedianMs
500,108,122
600,112,97
700,132,115
800,147,116
900,151,131
1000,155,155
1100,212,167
1200,221,192
1300,208,209
1400,279,256
1500,296,233
1600,283,271
1700,275,271
1800,322,311
1900,367,321
2000,416,420
